"Año","Mes","Región","Inflación mensual general"
"2006","2006/04/01 00:00:00","AMBATO","-0,00255532"
"2006","2006/04/01 00:00:00","COSTA ","0,00500249"
"2006","2006/04/01 00:00:00","CUENCA","0,00134715"
"2006","2006/04/01 00:00:00","ESMERALDAS","0,00475961"
"2006","2006/04/01 00:00:00","GUAYAQUIL ","0,00623522"
"2006","2006/04/01 00:00:00","LOJA","-0,00870108"
"2006","2006/04/01 00:00:00","MACHALA ","0,00561689"
"2006","2006/04/01 00:00:00","MANTA ","0,00165905"
"2006","2006/04/01 00:00:00","NACIONAL","0,00068475"
"2006","2006/04/01 00:00:00","QUITO ","-0,00193022"
"2006","2006/04/01 00:00:00","SIERRA","-0,00298767"
"2006","2006/05/01 00:00:00","AMBATO","-0,00124978"
"2006","2006/05/01 00:00:00","COSTA ","-0,00132266"
"2006","2006/05/01 00:00:00","CUENCA","-0,00054213"
"2006","2006/05/01 00:00:00","ESMERALDAS","0,00419979"
"2006","2006/05/01 00:00:00","GUAYAQUIL ","-0,00252647"
"2006","2006/05/01 00:00:00","LOJA","-0,00155203"
"2006","2006/05/01 00:00:00","MACHALA ","-0,007309"
"2006","2006/05/01 00:00:00","MANTA ","-0,0018222"
"2006","2006/05/01 00:00:00","NACIONAL","-0,00138012"
"2006","2006/05/01 00:00:00","QUITO ","-0,00159593"
"2006","2006/05/01 00:00:00","SIERRA","-0,00142938"
"2006","2006/06/01 00:00:00","AMBATO","-0,00208448"
"2006","2006/06/01 00:00:00","COSTA ","-0,00570385"
"2006","2006/06/01 00:00:00","CUENCA","-0,00177587"
"2006","2006/06/01 00:00:00","ESMERALDAS","-0,01436929"
"2006","2006/06/01 00:00:00","GUAYAQUIL ","-0,00464368"
"2006","2006/06/01 00:00:00","LOJA","0,001409"
"2006","2006/06/01 00:00:00","MACHALA ","0,00198611"
"2006","2006/06/01 00:00:00","MANTA ","-0,00207"
"2006","2006/06/01 00:00:00","NACIONAL","-0,00229956"
"2006","2006/06/01 00:00:00","QUITO ","0,00165404"
"2006","2006/06/01 00:00:00","SIERRA","0,00061946"
"2006","2006/07/01 00:00:00","AMBATO","0,00042276"
"2006","2006/07/01 00:00:00","COSTA ","0,00034232"
